id;cidade;logradouro;bairro;cep;numero;uf;data
1;customized Small Practical;Officer Personal Loan Account online;Applications Canyon;33045;85237;District Alabama Buckinghamshire;2020-11-16T10:52:51
2;Forward;Chair;motivating;46540;17973;Integration indexing magenta;2020-11-15T16:41:07
3;Cotton;Buckinghamshire quantify;calculate;8467;13508;quantifying Personal Loan Account;2020-11-16T06:55:55
4;Awesome Steel Chicken cross-platform;Investment Account;Handmade Investor Corporate;81652;36027;calculate;2020-11-16T10:23:50
5;Licensed Belize;Brunei Dollar;Michigan;8066;75498;ivory;2020-11-15T18:30:13
6;Manager Bacon North Dakota;Concrete;Auto Loan Account;28468;64102;Tala Cheese;2020-11-16T06:44:50
7;calculate;gold Gorgeous Wooden Car;copying;48163;18385;indexing Centralized;2020-11-16T02:41:17
8;Facilitator;middleware invoice mobile;Facilitator Trace Buckinghamshire;20705;68556;Technician discrete Maryland;2020-11-16T11:13:56
9;Applications back up;Oval pink;function;38772;12331;Path Director;2020-11-16T12:22:10
10;Chief;connecting Rand Loti Gardens;bandwidth Chair Savings Account;27082;52500;Savings Account Intelligent Wooden Shirt;2020-11-15T23:51:17
